effect_id,study_id,paper_doi,paper_title,citation,publication_year,experiment_year,country,location,latitude,longitude,broad_climate,koppen_climate,crop_as_reported,crop_core,season,residue_as_reported,pathway,outcome,outcome_unit,treatment_arm,control_arm,treatment_mean,control_mean,treatment_sd,control_sd,treatment_n,control_n,lnrr,variance_lnrr,percent_change,shared_control_group,source_locator,variance_provenance,analysis_tier,source_analysis_tier,tier_reconciliation,formal_decision,variance_origin_status,independence_resolution,sensitivity_note,quality_flags,system_boundary,gwp_version,soc_measure,soil_depth,water_regime,nitrogen_rate,extraction_method
dong_2024_GWP_2016_N2C3_vs_N2C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2016,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,GWP,kg CO2-eq ha-1 per rice season,N2C3,N2C0,4963,4674.1,171.126619788,1107.81969652,3,3,0.0599737657667,0.0191212616807,6.18086904431,dong_2024_2016_N2C0_GWP,"Table 4, p. 9","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,"paddy soil seasonal CH4+N2O with AR4 factors 25 and 298; excludes biochar production, transport and SOC change","AR4 100-year, CH4=25; N2O=298",,,continuous flooding,180.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_GWP_2017_N2C1_vs_N2C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2017,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,GWP,kg CO2-eq ha-1 per rice season,N2C1,N2C0,6209.2,5917.8,1317.39784424,873.126812095,3,3,0.0480673049643,0.0222614445351,4.92412720944,dong_2024_2017_N2C0_GWP,"Table 4, p. 9","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,"paddy soil seasonal CH4+N2O with AR4 factors 25 and 298; excludes biochar production, transport and SOC change","AR4 100-year, CH4=25; N2O=298",,,continuous flooding,180.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_GWP_2017_N2C2_vs_N2C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2017,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,GWP,kg CO2-eq ha-1 per rice season,N2C2,N2C0,4149.2,5917.8,809.040932215,873.126812095,3,3,-0.35504921363,0.0199295972405,-29.8861063233,dong_2024_2017_N2C0_GWP,"Table 4, p. 9","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,"paddy soil seasonal CH4+N2O with AR4 factors 25 and 298; excludes biochar production, transport and SOC change","AR4 100-year, CH4=25; N2O=298",,,continuous flooding,180.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_GWP_2017_N2C3_vs_N2C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2017,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,GWP,kg CO2-eq ha-1 per rice season,N2C3,N2C0,6225.9,5917.8,1205.33415699,873.126812095,3,3,0.0507532520077,0.0197499114833,5.20632667545,dong_2024_2017_N2C0_GWP,"Table 4, p. 9","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,"paddy soil seasonal CH4+N2O with AR4 factors 25 and 298; excludes biochar production, transport and SOC change","AR4 100-year, CH4=25; N2O=298",,,continuous flooding,180.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_GHGI_2015_N1C1_vs_N1C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2015,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,GHGI,kg CO2-eq kg-1 grain,N1C1,N1C0,0.82,0.63,0.0866025403784,0.12124355653,3,3,0.263584520873,0.0160637039975,30.1587301587,dong_2024_2015_N1C0_GHGI,"Table 5, p. 10","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,"paddy soil seasonal CH4+N2O with AR4 factors 25 and 298; excludes biochar production, transport and SOC change","AR4 100-year, CH4=25; N2O=298",,,continuous flooding,120.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_GHGI_2015_N1C2_vs_N1C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2015,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,GHGI,kg CO2-eq kg-1 grain,N1C2,N1C0,0.76,0.63,0.0866025403784,0.12124355653,3,3,0.187598613895,0.01667393386,20.6349206349,dong_2024_2015_N1C0_GHGI,"Table 5, p. 10","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,"paddy soil seasonal CH4+N2O with AR4 factors 25 and 298; excludes biochar production, transport and SOC change","AR4 100-year, CH4=25; N2O=298",,,continuous flooding,120.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_GHGI_2015_N1C3_vs_N1C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2015,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,GHGI,kg CO2-eq kg-1 grain,N1C3,N1C0,0.76,0.63,0.24248711306,0.12124355653,3,3,0.187598613895,0.0462791970179,20.6349206349,dong_2024_2015_N1C0_GHGI,"Table 5, p. 10","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,"paddy soil seasonal CH4+N2O with AR4 factors 25 and 298; excludes biochar production, transport and SOC change","AR4 100-year, CH4=25; N2O=298",,,continuous flooding,120.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_GHGI_2016_N1C1_vs_N1C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2016,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,GHGI,kg CO2-eq kg-1 grain,N1C1,N1C0,0.52,0.7,0.0173205080757,0.0866025403784,3,3,-0.297251523468,0.00547186330153,-25.7142857143,dong_2024_2016_N1C0_GHGI,"Table 5, p. 10","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,"paddy soil seasonal CH4+N2O with AR4 factors 25 and 298; excludes biochar production, transport and SOC change","AR4 100-year, CH4=25; N2O=298",,,continuous flooding,120.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_GHGI_2016_N1C2_vs_N1C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2016,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,GHGI,kg CO2-eq kg-1 grain,N1C2,N1C0,0.57,0.7,0.0346410161514,0.0866025403784,3,3,-0.205443974215,0.00633318886188,-18.5714285714,dong_2024_2016_N1C0_GHGI,"Table 5, p. 10","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,"paddy soil seasonal CH4+N2O with AR4 factors 25 and 298; excludes biochar production, transport and SOC change","AR4 100-year, CH4=25; N2O=298",,,continuous flooding,120.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_GHGI_2016_N1C3_vs_N1C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2016,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,GHGI,kg CO2-eq kg-1 grain,N1C3,N1C0,0.51,0.7,0.173205080757,0.0866025403784,3,3,-0.316669609325,0.0435487920658,-27.1428571429,dong_2024_2016_N1C0_GHGI,"Table 5, p. 10","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,"paddy soil seasonal CH4+N2O with AR4 factors 25 and 298; excludes biochar production, transport and SOC change","AR4 100-year, CH4=25; N2O=298",,,continuous flooding,120.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_GHGI_2017_N1C1_vs_N1C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2017,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,GHGI,kg CO2-eq kg-1 grain,N1C1,N1C0,0.72,0.5,0.0692820323028,0.0346410161514,3,3,0.364643113588,0.00468641975309,44,dong_2024_2017_N1C0_GHGI,"Table 5, p. 10","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,"paddy soil seasonal CH4+N2O with AR4 factors 25 and 298; excludes biochar production, transport and SOC change","AR4 100-year, CH4=25; N2O=298",,,continuous flooding,120.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_GHGI_2017_N1C2_vs_N1C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2017,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,GHGI,kg CO2-eq kg-1 grain,N1C2,N1C0,0.58,0.5,0.138564064606,0.0346410161514,3,3,0.148420005118,0.0206249702735,16,dong_2024_2017_N1C0_GHGI,"Table 5, p. 10","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,"paddy soil seasonal CH4+N2O with AR4 factors 25 and 298; excludes biochar production, transport and SOC change","AR4 100-year, CH4=25; N2O=298",,,continuous flooding,120.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_GHGI_2017_N1C3_vs_N1C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2017,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,GHGI,kg CO2-eq kg-1 grain,N1C3,N1C0,0.74,0.5,0.0692820323028,0.0346410161514,3,3,0.392042087776,0.00452184075968,48,dong_2024_2017_N1C0_GHGI,"Table 5, p. 10","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,"paddy soil seasonal CH4+N2O with AR4 factors 25 and 298; excludes biochar production, transport and SOC change","AR4 100-year, CH4=25; N2O=298",,,continuous flooding,120.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_GHGI_2015_N2C1_vs_N2C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2015,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,GHGI,kg CO2-eq kg-1 grain,N2C1,N2C0,0.52,0.55,0.294448637287,0.12124355653,3,3,-0.056089466651,0.123077045332,-5.45454545455,dong_2024_2015_N2C0_GHGI,"Table 5, p. 10","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,"paddy soil seasonal CH4+N2O with AR4 factors 25 and 298; excludes biochar production, transport and SOC change","AR4 100-year, CH4=25; N2O=298",,,continuous flooding,180.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_GHGI_2015_N2C2_vs_N2C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2015,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,GHGI,kg CO2-eq kg-1 grain,N2C2,N2C0,0.55,0.55,0.0173205080757,0.12124355653,3,3,0,0.0165289256198,0,dong_2024_2015_N2C0_GHGI,"Table 5, p. 10","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,"paddy soil seasonal CH4+N2O with AR4 factors 25 and 298; excludes biochar production, transport and SOC change","AR4 100-year, CH4=25; N2O=298",,,continuous flooding,180.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_GHGI_2015_N2C3_vs_N2C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2015,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,GHGI,kg CO2-eq kg-1 grain,N2C3,N2C0,0.61,0.55,0.12124355653,0.12124355653,3,3,0.103540678941,0.029366850198,10.9090909091,dong_2024_2015_N2C0_GHGI,"Table 5, p. 10","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,"paddy soil seasonal CH4+N2O with AR4 factors 25 and 298; excludes biochar production, transport and SOC change","AR4 100-year, CH4=25; N2O=298",,,continuous flooding,180.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_GHGI_2016_N2C1_vs_N2C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2016,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,GHGI,kg CO2-eq kg-1 grain,N2C1,N2C0,0.56,0.57,0.103923048454,0.12124355653,3,3,-0.0176995770994,0.0265611553948,-1.75438596491,dong_2024_2016_N2C0_GHGI,"Table 5, p. 10","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,"paddy soil seasonal CH4+N2O with AR4 factors 25 and 298; excludes biochar production, transport and SOC change","AR4 100-year, CH4=25; N2O=298",,,continuous flooding,180.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_GHGI_2016_N2C2_vs_N2C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2016,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,GHGI,kg CO2-eq kg-1 grain,N2C2,N2C0,0.43,0.57,0.0346410161514,0.12124355653,3,3,-0.281851152141,0.0172448950886,-24.5614035088,dong_2024_2016_N2C0_GHGI,"Table 5, p. 10","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,"paddy soil seasonal CH4+N2O with AR4 factors 25 and 298; excludes biochar production, transport and SOC change","AR4 100-year, CH4=25; N2O=298",,,continuous flooding,180.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_GHGI_2016_N2C3_vs_N2C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2016,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,GHGI,kg CO2-eq kg-1 grain,N2C3,N2C0,0.62,0.57,0.0519615242271,0.12124355653,3,3,0.0840831172105,0.0174228746923,8.77192982456,dong_2024_2016_N2C0_GHGI,"Table 5, p. 10","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,"paddy soil seasonal CH4+N2O with AR4 factors 25 and 298; excludes biochar production, transport and SOC change","AR4 100-year, CH4=25; N2O=298",,,continuous flooding,180.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_GHGI_2017_N2C1_vs_N2C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2017,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,GHGI,kg CO2-eq kg-1 grain,N2C1,N2C0,0.7,0.7,0.155884572681,0.103923048454,3,3,0,0.0238775510204,0,dong_2024_2017_N2C0_GHGI,"Table 5, p. 10","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,"paddy soil seasonal CH4+N2O with AR4 factors 25 and 298; excludes biochar production, transport and SOC change","AR4 100-year, CH4=25; N2O=298",,,continuous flooding,180.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_GHGI_2017_N2C2_vs_N2C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2017,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,GHGI,kg CO2-eq kg-1 grain,N2C2,N2C0,0.46,0.7,0.103923048454,0.103923048454,3,3,-0.41985384556,0.0243601712897,-34.2857142857,dong_2024_2017_N2C0_GHGI,"Table 5, p. 10","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,"paddy soil seasonal CH4+N2O with AR4 factors 25 and 298; excludes biochar production, transport and SOC change","AR4 100-year, CH4=25; N2O=298",,,continuous flooding,180.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_GHGI_2017_N2C3_vs_N2C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2017,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,GHGI,kg CO2-eq kg-1 grain,N2C3,N2C0,0.69,0.7,0.12124355653,0.103923048454,3,3,-0.0143887374521,0.017638894247,-1.42857142857,dong_2024_2017_N2C0_GHGI,"Table 5, p. 10","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,"paddy soil seasonal CH4+N2O with AR4 factors 25 and 298; excludes biochar production, transport and SOC change","AR4 100-year, CH4=25; N2O=298",,,continuous flooding,180.0,automated transcription from primary numeric PDF table with row and anchor assertions
dong_2024_SOC_2015_N1C1_vs_N1C0,dong_harbin_2015_2017,10.3390/agronomy14123050,Biochar: An Option to Maintain Rice Yield and Mitigate Greenhouse Gas Emissions from Rice Fields in Northeast China,Dong et al. 2024,2024,2015,China,"Minzhu, Harbin, Heilongjiang",45.8167,126.8,northern temperate,,rice,rice,single rice season,rice straw,biochar_return,SOC,"g organic C kg-1 soil, 0-20 cm",N1C1,N1C0,13.84,13.65,0.76210235533,0.519615242271,3,3,0.0138234285586,0.00149375883347,1.39194139194,dong_2024_2015_N1C0_SOC,"Table 6, p. 10","primary table mean ± SE, n=3; delta-method lnRR variance",A_primary_exact_table_mean_SE,A_primary_exact_table_mean_SE,,ADMIT_N_MATCHED_FIXED_FIELD_TRIAL_SHARED_CONTROLS,documented_or_reconstructed,3 biochar subplots share C0 within each N stratum and year; 2015-2017 are repeated measurements of one fixed trial,GWP/GHGI are derived from CH4/N2O and should not be counted as independent endpoints; yearly effects and doses share plots/controls,,,,,,continuous flooding,120.0,automated transcription from primary numeric PDF table with row and anchor assertions
