endpoint,effect_id,outcome,reason
GWP,rice_primary_53_2012_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,rice_primary_53_2013_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,rice_primary_53_mean_2011_2013_GWP,GWP,no_unique_counterpart_with_same_period_arms_water_N
GWP,BiocharDS_v1_row_00470_CropYield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,BiocharDS_v1_row_00471_CropYield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,BiocharDS_v1_row_00474_CropYield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,BiocharDS_v1_row_00475_CropYield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,yang_2015_biochar_CB2_vs_control_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,yang_2015_biochar_CB4_vs_control_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,yang_2015_biochar_RB2_vs_control_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,yang_2015_biochar_RB4_vs_control_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,rice_primary_53_2011_direct_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,rice_primary_53_2012_direct_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,rice_primary_53_2013_direct_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,panneerselvam_cuttack_2021_2022_kharif_NC_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,panneerselvam_cuttack_2021_2022_kharif_SMC_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,panneerselvam_cuttack_2021_2022_kharif_capsule_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,panneerselvam_cuttack_2021_2022_rabi_NC_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,panneerselvam_cuttack_2021_2022_rabi_SMC_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,panneerselvam_cuttack_2021_2022_rabi_capsule_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,huang_shangzhuang_2006_2013_yield_N0_wheat_2010_2011,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,huang_shangzhuang_2006_2013_yield_N0_maize_2011,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,huang_shangzhuang_2006_2013_yield_N0_wheat_2011_2012,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,huang_shangzhuang_2006_2013_yield_N0_maize_2012,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,huang_shangzhuang_2006_2013_yield_Ncon_wheat_2010_2011,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,huang_shangzhuang_2006_2013_yield_Ncon_maize_2011,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,huang_shangzhuang_2006_2013_yield_Ncon_wheat_2011_2012,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,huang_shangzhuang_2006_2013_yield_Ncon_maize_2012,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,du_dingxi_2016_2022_2021_LN_yield,yield,matched
GWP,du_dingxi_2016_2022_2021_MN_yield,yield,matched
GWP,du_dingxi_2016_2022_2021_HN_yield,yield,matched
GWP,du_dingxi_2016_2022_2022_LN_yield,yield,matched
GWP,du_dingxi_2016_2022_2022_MN_yield,yield,matched
GWP,du_dingxi_2016_2022_2022_HN_yield,yield,matched
GWP,du_dingxi_2016_2022_2021_LN_GWP,GWP,matched
GWP,du_dingxi_2016_2022_2021_MN_GWP,GWP,matched
GWP,du_dingxi_2016_2022_2021_HN_GWP,GWP,matched
GWP,du_dingxi_2016_2022_2022_LN_GWP,GWP,matched
GWP,du_dingxi_2016_2022_2022_MN_GWP,GWP,matched
GWP,du_dingxi_2016_2022_2022_HN_GWP,GWP,matched
GWP,nayak_bhubaneswar_2020_burning_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,nayak_bhubaneswar_2020_return_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,nayak_bhubaneswar_2021_burning_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,nayak_bhubaneswar_2021_return_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,jijnasa_k22_burn_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,jijnasa_k22_return_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,jijnasa_k22_biochar_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,jijnasa_k23_burn_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,jijnasa_k23_return_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,jijnasa_k23_biochar_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,jijnasa_r23_burn_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,jijnasa_r23_return_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,jijnasa_r23_biochar_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,jijnasa_r24_burn_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,jijnasa_r24_return_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
GWP,jijnasa_r24_biochar_yield,yield,no_unique_counterpart_with_same_period_arms_water_N
